"","county_name","party","year","candidate","candidatevotes","totalvotes","percent"
"1040","LYCOMING","REPUBLICAN",2016,"DONALD TRUMP",35627,50565,70.4578265598734
"1041","LYMAN","REPUBLICAN",2016,"DONALD TRUMP",977,1421,68.7543983110486
"1042","LYNCHBURG","REPUBLICAN",2004,"GEORGE W. BUSH",14400,26340,54.6697038724374
"1043","LYNCHBURG CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",18048,109092,16.5438345616544
"1044","LYNN","REPUBLICAN",2020,"DONALD J TRUMP",1853,2293,80.8111644134322
"1045","LYON","REPUBLICAN",2016,"DONALD TRUMP",37794,58604,64.4904784656337
"1046","MACKINAC","REPUBLICAN",2016,"DONALD TRUMP",3744,6097,61.407249466951
"1047","MACOMB","REPUBLICAN",2016,"DONALD TRUMP",224665,419312,53.5794348838097
"1048","MACON","REPUBLICAN",2016,"DONALD TRUMP",54025,94346,57.2626290462765
"1049","MACOUPIN","REPUBLICAN",2020,"DONALD J TRUMP",16153,24022,67.2425276829573
"1050","MADERA","REPUBLICAN",2004,"GEORGE W. BUSH",24871,38780,64.1335740072202
"1051","MADISON","REPUBLICAN",2004,"GEORGE W. BUSH",321558,554911,57.947670887764
"1052","MAGOFFIN","REPUBLICAN",2020,"DONALD J TRUMP",4174,5446,76.6434080058759
"1053","MAHASKA","REPUBLICAN",2016,"DONALD TRUMP",7432,10632,69.9021820917984
"1054","MAHNOMEN","DEMOCRAT",2008,"BARACK OBAMA",1436,2343,61.288945795988
"1055","MAHONING","DEMOCRAT",2012,"BARACK OBAMA",77059,121310,63.5223806776028
"1056","MAJOR","REPUBLICAN",2016,"DONALD TRUMP",2948,3407,86.527737012034
"1057","MALHEUR","REPUBLICAN",2004,"GEORGE W. BUSH",8123,10846,74.8939701272358
"1058","MANASSAS","REPUBLICAN",2004,"GEORGE W. BUSH",7257,12903,56.2427342478493
"1059","MANASSAS CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",10356,50934,20.3321946047827
"1060","MANASSAS PARK","DEMOCRAT",2012,"BARACK OBAMA",2879,4656,61.8341924398625
"1061","MANASSAS PARK CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",3992,18264,21.8572054314498
"1062","MANATEE","REPUBLICAN",2020,"DONALD J TRUMP",124987,216958,57.608845951751
"1063","MANISTEE","REPUBLICAN",2020,"DONALD J TRUMP",8321,14655,56.7792562265438
"1064","MANITOWOC","REPUBLICAN",2020,"DONALD J TRUMP",27218,44829,60.7151620602735
"1065","MARATHON","REPUBLICAN",2020,"DONALD J TRUMP",44624,76751,58.1412620031009
"1066","MARENGO","DEMOCRAT",2012,"BARACK OBAMA",6167,11537,53.4541041865303
"1067","MARICOPA","REPUBLICAN",2004,"GEORGE W. BUSH",679455,1192751,56.9653682956459
"1068","MARIES","REPUBLICAN",2020,"DONALD J TRUMP",3892,4771,81.5761894780968
"1069","MARIN","DEMOCRAT",2020,"JOSEPH R BIDEN JR",128288,155830,82.3256112430212
"1070","MARINETTE","REPUBLICAN",2020,"DONALD J TRUMP",15304,22979,66.5999390748074
"1071","MARION","DEMOCRAT",2008,"BARACK OBAMA",451541,845739,53.390112079495
"1072","MARIPOSA","REPUBLICAN",2004,"GEORGE W. BUSH",5215,8638,60.3727714748784
"1073","MARLBORO","DEMOCRAT",2000,"AL GORE",5060,7883,64.1887606241279
"1074","MARQUETTE","DEMOCRAT",2008,"BARACK OBAMA",23703,41031,57.7685164875338
"1075","MARSHALL","REPUBLICAN",2016,"DONALD TRUMP",102988,150499,68.4310194752125
"1076","MARTIN","REPUBLICAN",2016,"DONALD TRUMP",74818,118811,62.9722837111042
"1077","MARTINSVILLE","DEMOCRAT",2008,"BARACK OBAMA",4139,6520,63.4815950920245
"1078","MARTINSVILLE CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",3766,18072,20.8388667552014
"1079","MASON","REPUBLICAN",2020,"DONALD J TRUMP",49530,82958,59.7049109187782
"1080","MASSAC","REPUBLICAN",2020,"DONALD J TRUMP",4997,6813,73.3450755907823
"1081","MATAGORDA","REPUBLICAN",2020,"DONALD J TRUMP",9845,13727,71.7199679463831
"1082","MATHEWS","REPUBLICAN",2004,"GEORGE W. BUSH",3497,5129,68.1809319555469
"1083","MAUI","DEMOCRAT",2008,"BARACK OBAMA",39727,51789,76.7093398211976
"1084","MAURY","REPUBLICAN",2020,"DONALD J TRUMP",31464,46657,67.4368261997128
"1085","MAVERICK","DEMOCRAT",2012,"BARACK OBAMA",8303,10563,78.6045630976049
"1086","MAYES","REPUBLICAN",2016,"DONALD TRUMP",11555,15717,73.5191194248266
"1087","MCCLAIN","REPUBLICAN",2016,"DONALD TRUMP",13169,16858,78.1172143789299
"1088","MCCONE","REPUBLICAN",2020,"DONALD J TRUMP",956,1128,84.7517730496454
"1089","MCCOOK","REPUBLICAN",2020,"DONALD J TRUMP",2068,2900,71.3103448275862
"1090","MCCORMICK","DEMOCRAT",2008,"BARACK OBAMA",2755,5232,52.6567278287462
"1091","MCCRACKEN","REPUBLICAN",2016,"DONALD TRUMP",20774,31307,66.3557670808445
"1092","MCCREARY","REPUBLICAN",2020,"DONALD J TRUMP",5664,6435,88.018648018648
"1093","MCCULLOCH","REPUBLICAN",2020,"DONALD J TRUMP",2904,3436,84.5168800931315
"1094","MCCURTAIN","REPUBLICAN",2016,"DONALD TRUMP",8656,10726,80.701100130524
"1095","MCDONALD","REPUBLICAN",2020,"DONALD J TRUMP",7465,9053,82.4588534187562
"1096","MCDONOUGH","REPUBLICAN",2020,"DONALD J TRUMP",7027,12285,57.1998371998372
"1097","MCDOWELL","REPUBLICAN",2016,"DONALD TRUMP",19197,26078,73.6137740624281
"1098","MCDUFFIE","REPUBLICAN",2004,"GEORGE W. BUSH",4846,7773,62.3440113212402
"1099","MCHENRY","REPUBLICAN",2004,"GEORGE W. BUSH",78156,130768,59.7669154533219
"1100","MCINTOSH","REPUBLICAN",2016,"DONALD TRUMP",10092,15312,65.9090909090909
"1101","MCKEAN","REPUBLICAN",2020,"DONALD J TRUMP",14083,19466,72.3466557073872
"1102","MCKENZIE","REPUBLICAN",2020,"DONALD J TRUMP",4482,5419,82.7089868979516
"1103","MCKINLEY","DEMOCRAT",2012,"BARACK OBAMA",15841,21929,72.2376761366227
"1104","MCLEAN","REPUBLICAN",2004,"GEORGE W. BUSH",46874,80805,58.0087865849885
"1105","MCLENNAN","REPUBLICAN",2004,"GEORGE W. BUSH",52090,79254,65.725389254801
"1106","MCLEOD","REPUBLICAN",2020,"DONALD J TRUMP",13986,20933,66.8131658147423
"1107","MCMINN","REPUBLICAN",2020,"DONALD J TRUMP",18198,22844,79.6620556820172
"1108","MCMULLEN","REPUBLICAN",2016,"DONALD TRUMP",454,499,90.9819639278557
"1109","MCNAIRY","REPUBLICAN",2020,"DONALD J TRUMP",9093,11275,80.6474501108648
"1110","MCPHERSON","REPUBLICAN",2004,"GEORGE W. BUSH",11034,15258,72.31616201337
"1111","MEADE","REPUBLICAN",2020,"DONALD J TRUMP",21582,29605,72.8998479986489
"1112","MEAGHER","REPUBLICAN",2020,"DONALD J TRUMP",833,1110,75.045045045045
"1113","MECKLENBURG","DEMOCRAT",2016,"HILLARY CLINTON",300847,487802,61.6739988765934
"1114","MECOSTA","REPUBLICAN",2020,"DONALD J TRUMP",13267,21049,63.0291225236353
"1115","MEDINA","REPUBLICAN",2020,"DONALD J TRUMP",80240,128482,62.4523279525537
"1116","MEEKER","REPUBLICAN",2020,"DONALD J TRUMP",9359,13529,69.1773227880849
"1117","MEIGS","REPUBLICAN",2020,"DONALD J TRUMP",12783,16483,77.5526299824061
"1118","MELLETTE","REPUBLICAN",2000,"GEORGE W. BUSH",495,733,67.5306957708049
"1119","MENARD","REPUBLICAN",2020,"DONALD J TRUMP",5587,7956,70.2237305178482
"1120","MENDOCINO","DEMOCRAT",2008,"BARACK OBAMA",27843,40016,69.5796681327469
"1121","MENIFEE","REPUBLICAN",2020,"DONALD J TRUMP",2311,3102,74.5003223726628
"1122","MENOMINEE","REPUBLICAN",2020,"DONALD J TRUMP",8395,14197,59.1322110304994
"1123","MERCED","REPUBLICAN",2004,"GEORGE W. BUSH",32773,57945,56.5588057640866
"1124","MERCER","DEMOCRAT",2008,"BARACK OBAMA",157681,279691,56.3768587476894
"1125","MERIWETHER","REPUBLICAN",2016,"DONALD TRUMP",5222,9217,56.6561788000434
"1126","MERRICK","REPUBLICAN",2020,"DONALD J TRUMP",3419,4257,80.3147756636129
"1127","MERRIMACK","DEMOCRAT",2008,"BARACK OBAMA",45078,80106,56.2729383566774
"1128","MESA","REPUBLICAN",2004,"GEORGE W. BUSH",41539,61885,67.1228892300234
"1129","METCALFE","REPUBLICAN",2020,"DONALD J TRUMP",3959,5012,78.9904229848364
"1130","MIAMI","REPUBLICAN",2020,"DONALD J TRUMP",64604,90382,71.4788342811622
"1131","MIAMI-DADE","DEMOCRAT",2016,"HILLARY CLINTON",624146,980204,63.6751125275963
"1132","MIDDLESEX","DEMOCRAT",2020,"JOSEPH R BIDEN JR",902785,1363262,66.2224135932785
"1133","MIDLAND","REPUBLICAN",2004,"GEORGE W. BUSH",60954,88109,69.1802199548287
"1134","MIFFLIN","REPUBLICAN",2020,"DONALD J TRUMP",16670,21502,77.5276718444796
"1135","MILAM","REPUBLICAN",2020,"DONALD J TRUMP",7984,10578,75.4774059368501
"1136","MILLARD","REPUBLICAN",2012,"MITT ROMNEY",4478,5026,89.0966971746916
"1137","MILLE LACS","REPUBLICAN",2020,"DONALD J TRUMP",9952,14689,67.7513785826128
"1138","MILLER","REPUBLICAN",2016,"DONALD TRUMP",22470,30051,74.7728860936408
"1139","MILLS","REPUBLICAN",2016,"DONALD TRUMP",7018,9943,70.5823192195515
"1140","MILWAUKEE","DEMOCRAT",2020,"JOSEPH R BIDEN JR",317270,458971,69.1263718186988
"1141","MINER","REPUBLICAN",2020,"DONALD J TRUMP",787,1138,69.1564147627416
"1142","MINERAL","REPUBLICAN",2020,"DONALD J TRUMP",13715,18518,74.0630737660654
"1143","MINGO","REPUBLICAN",2020,"DONALD J TRUMP",8544,10022,85.252444621832
"1144","MINIDOKA","REPUBLICAN",2004,"GEORGE W. BUSH",5797,7200,80.5138888888889
"1145","MINNEHAHA","REPUBLICAN",2004,"GEORGE W. BUSH",44189,77632,56.921115004122
"1146","MISSAUKEE","REPUBLICAN",2020,"DONALD J TRUMP",6648,8755,75.9337521416333
"1147","MISSISSIPPI","REPUBLICAN",2016,"DONALD TRUMP",10661,18373,58.0253633048495
"1148","MISSOULA","DEMOCRAT",2008,"BARACK OBAMA",36531,59104,61.8079994585815
"1149","MITCHELL","REPUBLICAN",2016,"DONALD TRUMP",17839,26531,67.2383249783272
"1150","MOBILE","REPUBLICAN",2004,"GEORGE W. BUSH",92014,156771,58.693253216475
"1151","MODOC","REPUBLICAN",2004,"GEORGE W. BUSH",3235,4456,72.5987432675045
"1152","MOFFAT","REPUBLICAN",2016,"DONALD TRUMP",5305,6525,81.3026819923372
"1153","MOHAVE","REPUBLICAN",2016,"DONALD TRUMP",58282,79943,72.9044444166469
"1154","MONITEAU","REPUBLICAN",2020,"DONALD J TRUMP",5744,7157,80.2570909598994
"1155","MONMOUTH","REPUBLICAN",2004,"GEORGE W. BUSH",163650,299939,54.5610940891315
"1156","MONO","DEMOCRAT",2020,"JOSEPH R BIDEN JR",4013,6738,59.557732264767
"1157","MONONA","REPUBLICAN",2016,"DONALD TRUMP",3120,4572,68.241469816273
"1158","MONONGALIA","REPUBLICAN",2012,"MITT ROMNEY",16831,31475,53.4741858617951
"1159","MONROE","DEMOCRAT",2008,"BARACK OBAMA",399621,727694,54.916077362188
"1160","MONTAGUE","REPUBLICAN",2020,"DONALD J TRUMP",8615,9819,87.7380588654649
"1161","MONTCALM","REPUBLICAN",2020,"DONALD J TRUMP",21815,32100,67.9595015576324
"1162","MONTEREY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",113953,163923,69.5161752774168
"1163","MONTEZUMA","REPUBLICAN",2000,"GEORGE W. BUSH",6158,9384,65.6223358908781
"1164","MONTGOMERY","DEMOCRAT",2008,"BARACK OBAMA",903951,1607777,56.2236553949957
"1165","MONTMORENCY","REPUBLICAN",2020,"DONALD J TRUMP",4171,5859,71.189622802526
"1166","MONTOUR","REPUBLICAN",2004,"GEORGE W. BUSH",4903,7624,64.310073452256
"1167","MONTROSE","REPUBLICAN",2004,"GEORGE W. BUSH",11218,16219,69.1657932054997
"1168","MOODY","REPUBLICAN",2020,"DONALD J TRUMP",1951,3206,60.8546475358702
"1169","MOORE","REPUBLICAN",2004,"GEORGE W. BUSH",30982,46783,66.2249107581814
"1170","MORA","DEMOCRAT",2008,"BARACK OBAMA",2168,2760,78.5507246376812
"1171","MOREHOUSE","REPUBLICAN",2004,"GEORGE W. BUSH",7471,12971,57.5977179862771
"1172","MORGAN","REPUBLICAN",2016,"DONALD TRUMP",114120,157749,72.3427723789057
"1173","MORRILL","REPUBLICAN",2020,"DONALD J TRUMP",2113,2557,82.6359014470082
"1174","MORRIS","REPUBLICAN",2004,"GEORGE W. BUSH",140020,243368,57.534269090431
"1175","MORRISON","REPUBLICAN",2020,"DONALD J TRUMP",14821,19558,75.7797320789447
"1176","MORROW","REPUBLICAN",2020,"DONALD J TRUMP",17663,23575,74.9225874867444
"1177","MORTON","REPUBLICAN",2020,"DONALD J TRUMP",13277,17817,74.5187180782399
"1178","MOTLEY","REPUBLICAN",2020,"DONALD J TRUMP",604,652,92.6380368098159
"1179","MOULTRIE","REPUBLICAN",2020,"DONALD J TRUMP",4964,6744,73.6061684460261
"1180","MOUNTRAIL","REPUBLICAN",2020,"DONALD J TRUMP",2824,4165,67.8031212484994
"1181","MOWER","DEMOCRAT",2004,"JOHN KERRY",12334,20222,60.9929779448126
"1182","MUHLENBERG","REPUBLICAN",2020,"DONALD J TRUMP",10496,14229,73.7648464403683
"1183","MULTNOMAH","DEMOCRAT",2020,"JOSEPH R BIDEN JR",367249,463659,79.2067014767318
"1184","MURRAY","REPUBLICAN",2016,"DONALD TRUMP",17490,22654,77.2049086254083
"1185","MUSCATINE","DEMOCRAT",2008,"BARACK OBAMA",10920,19119,57.1159579475914
"1186","MUSCOGEE","DEMOCRAT",2012,"BARACK OBAMA",42573,70603,60.2991374304208
"1187","MUSKEGON","DEMOCRAT",2008,"BARACK OBAMA",53821,84271,63.8665733170367
"1188","MUSKINGUM","REPUBLICAN",2020,"DONALD J TRUMP",27867,40465,68.8669220313851
"1189","MUSKOGEE","REPUBLICAN",2016,"DONALD TRUMP",15043,24216,62.1200858936241
"1190","MUSSELSHELL","REPUBLICAN",2020,"DONALD J TRUMP",2423,2881,84.1027421034363
"1191","NACOGDOCHES","REPUBLICAN",2012,"MITT ROMNEY",13925,20653,67.4236188447199
"1192","NANCE","REPUBLICAN",2020,"DONALD J TRUMP",1437,1828,78.6105032822757
"1193","NANTUCKET","DEMOCRAT",2020,"JOSEPH R BIDEN JR",5241,7338,71.4227309893704
"1194","NAPA","DEMOCRAT",2020,"JOSEPH R BIDEN JR",49817,72150,69.046431046431
"1195","NASH","REPUBLICAN",2000,"GEORGE W. BUSH",17995,30513,58.9748631730738
"1196","NASSAU","DEMOCRAT",2000,"AL GORE",348562,613487,56.8165258595537
"1197","NATCHITOCHES","REPUBLICAN",2020,"DONALD J TRUMP",9358,16554,56.530143771898
"1198","NATRONA","REPUBLICAN",2020,"DONALD J TRUMP",25271,35391,71.4051595038287
"1199","NAVAJO","REPUBLICAN",2008,"JOHN MCCAIN",19761,35800,55.1983240223464
"1200","NAVARRO","REPUBLICAN",2016,"DONALD TRUMP",11994,16433,72.9872816892838
"1201","NELSON","REPUBLICAN",2016,"DONALD TRUMP",18610,30837,60.34958004994
"1202","NEMAHA","REPUBLICAN",2020,"DONALD J TRUMP",7092,9107,77.8741627319644
"1203","NEOSHO","REPUBLICAN",2020,"DONALD J TRUMP",4970,6877,72.2698851243275
"1204","NESHOBA","REPUBLICAN",2004,"GEORGE W. BUSH",7581,10133,74.8149610184546
"1205","NESS","REPUBLICAN",2020,"DONALD J TRUMP",1339,1513,88.4996695307336
"1206","NEVADA","REPUBLICAN",2000,"GEORGE W. BUSH",27794,51217,54.267137864381
"1207","NEW CASTLE","DEMOCRAT",2008,"BARACK OBAMA",178768,256417,69.717686424847
"1208","NEW HANOVER","REPUBLICAN",2004,"GEORGE W. BUSH",45351,81247,55.8186763818972
"1209","NEW HAVEN","DEMOCRAT",2008,"BARACK OBAMA",232820,381739,60.9893146888319
"1210","NEW KENT","REPUBLICAN",2004,"GEORGE W. BUSH",5414,7946,68.1349106468663
"1211","NEW LONDON","DEMOCRAT",2008,"BARACK OBAMA",74745,124765,59.9086282210556
"1212","NEW MADRID","REPUBLICAN",2020,"DONALD J TRUMP",5447,7250,75.1310344827586
"1213","NEW YORK","DEMOCRAT",2016,"HILLARY CLINTON",579013,668939,86.5569207356725
"1214","NEWAYGO","REPUBLICAN",2020,"DONALD J TRUMP",18857,27161,69.4267515923567
"1215","NEWBERRY","REPUBLICAN",2004,"GEORGE W. BUSH",7654,12409,61.681037956322
"1216","NEWPORT","DEMOCRAT",2020,"JOSEPH R BIDEN JR",29486,46148,63.8944266273728
"1217","NEWPORT NEWS","DEMOCRAT",2012,"BARACK OBAMA",51100,79444,64.3220381652485
"1218","NEWPORT NEWS CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",53099,243810,21.778844181945
"1219","NEWTON","REPUBLICAN",2004,"GEORGE W. BUSH",51133,77453,66.0181013001433
"1220","NEZ PERCE","REPUBLICAN",2000,"GEORGE W. BUSH",10577,16021,66.0195992759503
"1221","NIAGARA","REPUBLICAN",2016,"DONALD TRUMP",51961,92402,56.2336313066817
"1222","NICHOLAS","REPUBLICAN",2020,"DONALD J TRUMP",10687,14026,76.1942107514616
"1223","NICOLLET","DEMOCRAT",2008,"BARACK OBAMA",9887,18245,54.1901890929022
"1224","NIOBRARA","REPUBLICAN",2016,"DONALD TRUMP",1116,1314,84.9315068493151
"1225","NOBLE","REPUBLICAN",2016,"DONALD TRUMP",20462,27781,73.6546560598971
"1226","NOBLES","REPUBLICAN",2020,"DONALD J TRUMP",5600,8715,64.2570281124498
"1227","NODAWAY","REPUBLICAN",2020,"DONALD J TRUMP",6865,9893,69.3924997472961
"1228","NOLAN","REPUBLICAN",2020,"DONALD J TRUMP",4131,5357,77.1140563748367
"1229","NORFOLK","DEMOCRAT",2020,"JOSEPH R BIDEN JR",273312,411042,66.4924752215102
"1230","NORFOLK CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",64440,269964,23.8698493132418
"1231","NORMAN","DEMOCRAT",2008,"BARACK OBAMA",2129,3434,61.9976703552708
"1232","NORTHAMPTON","DEMOCRAT",2008,"BARACK OBAMA",85958,152785,56.2607585823216
"1233","NORTHUMBERLAND","REPUBLICAN",2016,"DONALD TRUMP",29729,44020,67.5352112676056
"1234","NORTON","REPUBLICAN",2020,"DONALD J TRUMP",2007,2415,83.1055900621118
"1235","NORTON CITY","REPUBLICAN",2020,"DONALD J TRUMP",1109,3202,34.6346033728919
"1236","NOTTOWAY","REPUBLICAN",2016,"DONALD TRUMP",3712,6744,55.0415183867141
"1237","NOWATA","REPUBLICAN",2016,"DONALD TRUMP",3321,4237,78.3809299032334
"1238","NOXUBEE","DEMOCRAT",2012,"BARACK OBAMA",4920,6264,78.544061302682
"1239","NUCKOLLS","REPUBLICAN",2020,"DONALD J TRUMP",1857,2303,80.6339557099435
"1240","NUECES","REPUBLICAN",2004,"GEORGE W. BUSH",59359,104560,56.7702754399388
"1241","NYE","REPUBLICAN",2020,"DONALD J TRUMP",17527,25376,69.0691992433796
"1242","O'BRIEN","REPUBLICAN",2016,"DONALD TRUMP",5752,7406,77.6667566837699
"1243","OAKLAND","DEMOCRAT",2008,"BARACK OBAMA",372566,659068,56.5292200501314
"1244","OBION","REPUBLICAN",2020,"DONALD J TRUMP",10790,13521,79.8017898084461
"1245","OCEAN","REPUBLICAN",2016,"DONALD TRUMP",179079,274362,65.2710652349815
"1246","OCEANA","REPUBLICAN",2020,"DONALD J TRUMP",8892,14062,63.2342483288295
"1247","OCHILTREE","REPUBLICAN",2004,"GEORGE W. BUSH",2922,3177,91.9735599622285
"1248","OCONEE","REPUBLICAN",2012,"MITT ROMNEY",34709,48483,71.5900418703463
"1249","OCONTO","REPUBLICAN",2020,"DONALD J TRUMP",16226,23215,69.8944647856989
"1250","OGEMAW","REPUBLICAN",2020,"DONALD J TRUMP",8253,11907,69.3121693121693
"1251","OGLALA LAKOTA","DEMOCRAT",2012,"BARACK OBAMA",2937,3145,93.3863275039746
"1252","OGLE","REPUBLICAN",2004,"GEORGE W. BUSH",14918,24091,61.9235399111701
"1253","OGLETHORPE","REPUBLICAN",2016,"DONALD TRUMP",4625,6674,69.2987713515133
"1254","OHIO","REPUBLICAN",2016,"DONALD TRUMP",21199,31257,67.821607959817
"1255","OKALOOSA","REPUBLICAN",2004,"GEORGE W. BUSH",69693,89756,77.6471767904096
"1256","OKANOGAN","REPUBLICAN",2000,"GEORGE W. BUSH",9384,14796,63.4225466342255
"1257","OKEECHOBEE","REPUBLICAN",2020,"DONALD J TRUMP",11470,15954,71.8941958129623
"1258","OKFUSKEE","REPUBLICAN",2016,"DONALD TRUMP",2800,3943,71.0119198579762
"1259","OKLAHOMA","REPUBLICAN",2004,"GEORGE W. BUSH",174741,272039,64.2338047118244
"1260","OKMULGEE","REPUBLICAN",2016,"DONALD TRUMP",8944,13949,64.1192917054986
"1261","OKTIBBEHA","REPUBLICAN",2004,"GEORGE W. BUSH",5485,9742,56.3026072675015
"1262","OLDHAM","REPUBLICAN",2004,"GEORGE W. BUSH",19534,27975,69.8266309204647
"1263","OLIVER","REPUBLICAN",2020,"DONALD J TRUMP",918,1066,86.1163227016885
"1264","OLMSTED","DEMOCRAT",2020,"JOSEPH R BIDEN JR",49491,91385,54.156590250041
"1265","ONEIDA","REPUBLICAN",2020,"DONALD J TRUMP",72999,128306,56.8944554424579
"1266","ONONDAGA","DEMOCRAT",2008,"BARACK OBAMA",129317,218194,59.2669825934719
"1267","ONSLOW","REPUBLICAN",2004,"GEORGE W. BUSH",25890,37277,69.4530139227942
"1268","ONTARIO","REPUBLICAN",2004,"GEORGE W. BUSH",26611,50102,53.1136481577582
"1269","ONTONAGON","REPUBLICAN",2020,"DONALD J TRUMP",2358,3804,61.98738170347
"1270","ORANGE","REPUBLICAN",2004,"GEORGE W. BUSH",970297,1738549,55.8107364244551
"1271","ORANGEBURG","DEMOCRAT",2012,"BARACK OBAMA",30720,43041,71.3738063706698
"1272","OREGON","REPUBLICAN",2020,"DONALD J TRUMP",3847,4739,81.1774635999156
"1273","ORLEANS","DEMOCRAT",2020,"JOSEPH R BIDEN JR",161198,211575,76.1895308992083
"1274","OSAGE","REPUBLICAN",2016,"DONALD TRUMP",23259,33102,70.2646365778503
"1275","OSBORNE","REPUBLICAN",2020,"DONALD J TRUMP",1629,1945,83.7532133676093
"1276","OSCEOLA","DEMOCRAT",2012,"BARACK OBAMA",72132,122170,59.042318081362
"1277","OSCODA","REPUBLICAN",2020,"DONALD J TRUMP",3466,4874,71.1120229790726
"1278","OSWEGO","REPUBLICAN",2020,"DONALD J TRUMP",32138,54852,58.5903886822723
"1279","OTERO","REPUBLICAN",2004,"GEORGE W. BUSH",19013,28944,65.6889165284688
"1280","OTOE","REPUBLICAN",2004,"GEORGE W. BUSH",5018,7386,67.9393447062009
"1281","OTSEGO","REPUBLICAN",2016,"DONALD TRUMP",21574,38206,56.4675705386588
"1282","OTTAWA","REPUBLICAN",2004,"GEORGE W. BUSH",113899,167400,68.0400238948626
"1283","OTTER TAIL","REPUBLICAN",2020,"DONALD J TRUMP",23800,36399,65.3864117146075
"1284","OUACHITA","REPUBLICAN",2004,"GEORGE W. BUSH",47095,75094,62.7147308706421
"1285","OURAY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",2365,4020,58.8308457711443
"1286","OUTAGAMIE","DEMOCRAT",2008,"BARACK OBAMA",50294,91563,54.9283007328288
"1287","OVERTON","REPUBLICAN",2020,"DONALD J TRUMP",7918,10037,78.8881139782804
"1288","OWEN","REPUBLICAN",2020,"DONALD J TRUMP",11578,15360,75.3776041666667
"1289","OWSLEY","REPUBLICAN",2020,"DONALD J TRUMP",1670,1895,88.1266490765172
"1290","OWYHEE","REPUBLICAN",2020,"DONALD J TRUMP",3819,4742,80.5356389708984
"1291","OXFORD","DEMOCRAT",2008,"BARACK OBAMA",17940,31650,56.6824644549763
"1292","OZARK","REPUBLICAN",2020,"DONALD J TRUMP",4064,4864,83.5526315789474
"1293","OZAUKEE","REPUBLICAN",2004,"GEORGE W. BUSH",34904,53032,65.8168652888822
"1294","PACIFIC","DEMOCRAT",2008,"BARACK OBAMA",6094,10937,55.7191185882783
"1295","PAGE","REPUBLICAN",2016,"DONALD TRUMP",12724,17784,71.5474583895637
"1296","PALM BEACH","DEMOCRAT",2000,"AL GORE",269732,433186,62.2670169396056
"1297","PALO ALTO","REPUBLICAN",2016,"DONALD TRUMP",3081,4703,65.511375717627
"1298","PALO PINTO","REPUBLICAN",2020,"DONALD J TRUMP",10179,12489,81.5037232764833
"1299","PAMLICO","REPUBLICAN",2016,"DONALD TRUMP",4258,6870,61.9796215429403
"1300","PANOLA","REPUBLICAN",2020,"DONALD J TRUMP",17386,27078,64.2071053992171
"1301","PARK","REPUBLICAN",2000,"GEORGE W. BUSH",18084,26907,67.2092763964768
"1302","PARKE","REPUBLICAN",2020,"DONALD J TRUMP",5400,7013,76.9998574076715
"1303","PARKER","REPUBLICAN",2012,"MITT ROMNEY",39243,47694,82.2807900364826
"1304","PARMER","REPUBLICAN",2004,"GEORGE W. BUSH",2375,2773,85.6473133790119
"1305","PASCO","REPUBLICAN",2020,"DONALD J TRUMP",179621,301970,59.4830612312481
"1306","PASQUOTANK","DEMOCRAT",2012,"BARACK OBAMA",10282,18107,56.7846689125752
"1307","PASSAIC","DEMOCRAT",2012,"BARACK OBAMA",115926,181988,63.6998043827065
"1308","PATRICK","REPUBLICAN",2016,"DONALD TRUMP",6454,8525,75.7067448680352
"1309","PAULDING","REPUBLICAN",2004,"GEORGE W. BUSH",37048,50346,73.5867794859572
"1310","PAWNEE","REPUBLICAN",2016,"DONALD TRUMP",7607,10352,73.4833848531685
"1311","PAYETTE","REPUBLICAN",2020,"DONALD J TRUMP",8862,11293,78.4733905959444
"1312","PAYNE","REPUBLICAN",2004,"GEORGE W. BUSH",19560,29661,65.9451805401032
"1313","PEACH","DEMOCRAT",2012,"BARACK OBAMA",6148,11516,53.3865925668635
"1314","PEARL RIVER","REPUBLICAN",2020,"DONALD J TRUMP",19595,24033,81.5337244621978
"1315","PECOS","REPUBLICAN",2004,"GEORGE W. BUSH",3167,4428,71.5221318879856
"1316","PEMBINA","REPUBLICAN",2020,"DONALD J TRUMP",2460,3331,73.8516961873311
"1317","PEMISCOT","REPUBLICAN",2020,"DONALD J TRUMP",4120,5735,71.8395815170009
"1318","PEND OREILLE","REPUBLICAN",2020,"DONALD J TRUMP",5728,8553,66.9706535718461
"1319","PENDER","REPUBLICAN",2016,"DONALD TRUMP",17639,27885,63.2562309485386
"1320","PENDLETON","REPUBLICAN",2020,"DONALD J TRUMP",8297,10584,78.3919123204838
"1321","PENNINGTON","REPUBLICAN",2000,"GEORGE W. BUSH",28076,42877,65.4803274482823
"1322","PENOBSCOT","REPUBLICAN",2020,"DONALD J TRUMP",44825,86133,52.0416100681504
"1323","PEORIA","DEMOCRAT",2008,"BARACK OBAMA",45906,81704,56.1857436600411
